time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-12T09:02:16.920Z,17.8108,-68.0856,40,3.35,md,10,229,0.7628,0.21,pr,pr2021102004,2021-04-12T09:35:08.837Z,"83 km SE of Boca de Yuma, Dominican Republic",earthquake,1.42,4.65,0.1,6,reviewed,pr,pr
2021-04-12T06:20:22.226Z,31.73244264,-104.5877265,6.054443359000001,3.1,ml,19,87,0.06573065362,0.3,tx,tx2021hdaj,2021-04-12T06:39:53.040Z,"53 km SSW of Whites City, New Mexico",earthquake,2.547467054,1.300339913,0.2,11,reviewed,tx,tx
2021-04-12T05:26:13.097Z,-30.5568,-177.8608,10,5.1,mww,,69,1.308,0.66,us,us6000e0yi,2021-04-12T05:51:49.040Z,"Kermadec Islands, New Zealand",earthquake,9.1,1.8,0.098,10,reviewed,us,us
2021-04-12T05:25:36.290Z,18.9556,-64.7616,31,3.58,md,17,334,1.3579,0.45,pr,pr2021102003,2021-04-12T07:24:25.593Z,"69 km N of Cruz Bay, U.S. Virgin Islands",earthquake,3.85,28.32,0.05,13,reviewed,pr,pr
2021-04-12T04:57:13.750Z,19.2575,-67.3651,24,3.46,md,23,300,0.8298,0.36,pr,pr2021102002,2021-04-12T06:06:17.720Z,"89 km NNW of San Antonio, Puerto Rico",earthquake,1.26,23.76,0.11,20,reviewed,pr,pr
2021-04-12T03:44:23.783Z,33.8388,15.9274,10,4.2,mb,,144,3.609,0.96,us,us6000e0xs,2021-04-12T04:32:19.040Z,"180 km NNE of Mişrātah, Libya",earthquake,5.6,2,0.112,22,reviewed,us,us
2021-04-12T03:08:35.162Z,22.6632,142.9556,152.46,5.2,mww,,49,4.468,0.96,us,us6000e0xp,2021-04-12T03:28:10.040Z,"Volcano Islands, Japan region",earthquake,9.3,6,0.098,10,reviewed,us,us
2021-04-12T02:26:26.226Z,2.7817,128.6072,229.69,5.2,mb,,81,2.35,0.83,us,us6000e0xi,2021-04-12T02:43:01.040Z,"134 km NNE of Tobelo, Indonesia",earthquake,8.6,7,0.045,166,reviewed,us,us
2021-04-12T02:12:26.430Z,18.0203,-66.8171,15,2.5,md,23,151,0.2121,0.19,pr,pr2021102001,2021-04-12T02:37:15.106Z,"2 km W of Guayanilla, Puerto Rico",earthquake,0.39,0.54,0.28,19,reviewed,pr,pr
2021-04-12T01:52:25.983Z,-5.2913,104.8347,105.65,4.9,mb,,30,2.088,1.2,us,us6000e0xf,2021-04-12T02:28:58.040Z,"49 km WNW of Bandar Lampung, Indonesia",earthquake,7.5,4.8,0.065,76,reviewed,us,us
2021-04-12T00:30:44.250Z,17.9371,-66.9711,12,2.68,md,16,222,0.0799,0.13,pr,pr2021102000,2021-04-12T00:50:10.324Z,"7 km WSW of Guánica, Puerto Rico",earthquake,0.46,0.32,0.17,8,reviewed,pr,pr
2021-04-11T23:14:01.923Z,-17.9984,-178.3409,613.31,4.4,mb,,122,3.443,0.79,us,us6000e0wz,2021-04-12T05:18:19.040Z,"248 km E of Levuka, Fiji",earthquake,13.3,9,0.036,224,reviewed,us,us
2021-04-11T22:57:31.630Z,38.8235016,-122.8101654,1.59,2.5,md,44,34,0.0001282,0.06,nc,nc73548300,2021-04-12T00:14:19.478Z,"7km NW of The Geysers, CA",earthquake,0.15,0.23,0.19,24,automatic,nc,nc
2021-04-11T22:03:29.160Z,38.8276672,-122.8133316,1.87,2.65,md,46,41,0.004967,0.07,nc,nc73548225,2021-04-11T23:39:19.741Z,"8km NW of The Geysers, CA",earthquake,0.15,0.26,0.11,28,automatic,nc,nc
2021-04-11T18:58:02.199Z,17.9004,147.284,47.87,5.2,mww,,163,3.013,0.56,us,us6000e0vk,2021-04-12T07:08:14.114Z,"Mariana Islands region",earthquake,13.1,9,0.098,10,reviewed,us,us
2021-04-11T18:19:16.027Z,14.9604,-92.554,95.16,4.5,mb,,149,0.937,0.86,us,us6000e0vj,2021-04-11T19:41:22.040Z,"4 km WNW of Aquiles Serdán, Mexico",earthquake,6.8,8.6,0.083,42,reviewed,us,us
2021-04-11T18:12:33.274Z,14.7528,-93.7394,44.74,4.4,mb,,170,1.991,1.14,us,us6000e0vb,2021-04-11T19:30:00.040Z,"98 km SW of La Esperanza (El Zapotal), Mexico",earthquake,6,11.4,0.074,52,reviewed,us,us
2021-04-11T18:08:48.494Z,18.0171,146.9872,45.34,4.7,mb,,75,2.995,0.84,us,us6000e0vg,2021-04-11T19:22:22.040Z,"Pagan region, Northern Mariana Islands",earthquake,11.1,7.9,0.079,49,reviewed,us,us
2021-04-11T17:54:37.792Z,17.9871,146.9584,49.77,4.7,mb,,139,2.957,0.65,us,us6000e0v7,2021-04-11T19:04:32.040Z,"Alamagan region, Northern Mariana Islands",earthquake,11.6,8.4,0.065,72,reviewed,us,us
2021-04-11T16:41:41.834Z,24.7259,122.4441,8.38,4.3,mb,,90,0.577,0.45,us,us6000e0uw,2021-04-11T19:04:52.040Z,"63 km WNW of Yonakuni, Japan",earthquake,2.6,5.5,0.168,10,reviewed,us,us
2021-04-11T16:20:12.195Z,18.7337,-102.9135,76.49,4.7,mb,,218,1.834,0.51,us,us6000e0ul,2021-04-12T03:59:52.282Z,"13 km W of Aguililla, Mexico",earthquake,9.2,8.5,0.031,310,reviewed,us,us
2021-04-11T15:52:23.733Z,-21.1977,-68.0206,176.74,4.5,mb,,68,1.283,0.51,us,us6000e0ue,2021-04-11T17:28:16.365Z,"148 km WSW of Uyuni, Bolivia",earthquake,6.6,6.9,0.072,56,reviewed,us,us
2021-04-11T14:52:32.005Z,-24.864,-68.1248,108.99,4.6,mb,,111,1.904,0.41,us,us6000e0u7,2021-04-11T16:07:17.748Z,"150 km NNW of Antofagasta de la Sierra, Argentina",earthquake,7,10.3,0.151,13,reviewed,us,us
2021-04-11T14:42:04.824Z,-31.6625,-69.6973,116.5,4.9,mb,,76,0.872,0.51,us,us6000e0u1,2021-04-11T16:32:16.750Z,"44 km SW of Calingasta, Argentina",earthquake,5.7,5.2,0.034,274,reviewed,us,us
2021-04-11T14:40:09.020Z,-29.8339,-176.9614,10,5,mb,,137,1.027,0.66,us,us6000e0ub,2021-04-11T15:24:44.040Z,"Kermadec Islands region",earthquake,9.5,1.8,0.103,30,reviewed,us,us
2021-04-11T14:06:37.868Z,40.8454,34.7273,10.46,4,mb,,61,0.793,0.76,us,us6000e0tu,2021-04-11T16:25:19.040Z,"15 km WNW of Laçin, Turkey",earthquake,3.7,6.6,0.212,6,reviewed,us,us
2021-04-11T13:48:53.854Z,52.3342,158.4864,81.68,4.6,mb,,129,0.697,0.32,us,us6000e0ts,2021-04-11T16:10:50.040Z,"66 km S of Vilyuchinsk, Russia",earthquake,5.5,6.3,0.035,249,reviewed,us,us
